t,eps_f,eps_g
10,0.0222222,0.00111111
20,0.0222222,0.00111111
30,0.0222222,0.00111111
40,0.0222222,0.00111111
50,0.0222222,0.00111111
60,0.0222222,0.00111111
70,0.0222222,0.00111111
80,0.0222222,0.00111111
90,0.0222222,0.00111111
100,0.0222222,0.00111111
110,0.0222222,0.00111111
120,0.0222222,0.00111111
130,0.0222222,0.00111111
140,0.0222222,0.00111111
150,0.0222222,0.00111111
160,0.0222222,0.00111111
170,0.0222222,0.00111111
180,0.0222222,0.00111111
190,0.0222222,0.00111111
200,0.0222222,0.00111111
210,0.0222222,0.00111111
220,0.0222222,0.00111111
230,0.0222222,0.00111111
240,0.0222222,0.00111111
250,0.0222222,0.00111111
260,0.0222222,0.00111111
270,0.0222222,0.00111111
280,0.0222222,0.00111111
290,0.0222222,0.00111111
300,0.0222222,0.00111111
310,0.0222222,0.00111111
320,0.0222222,0.00111111
330,0.0222222,0.00111111
340,0.0222222,0.00111111
350,0.0222222,0.00111111
360,0.0222222,0.00111111
370,0.0222222,0.00111111
380,0.0222222,0.00111111
390,0.0222222,0.00111111
400,0.0222222,0.00111111
410,0.0222222,0.00111111
420,0.0222222,0.00111111
430,0.0222222,0.00111111
440,0.0222222,0.00111111
450,0.0222222,0.00111111
460,0.0222222,0.00111111
470,0.0222222,0.00111111
480,0.0222222,0.00111111
490,0.0222222,0.00111111
500,0.0222222,0.00111111
510,0.0222222,0.00111111
520,0.0222222,0.00111111
530,0.0222222,0.00111111
540,0.0222222,0.00111111
550,0.0222222,0.00111111
560,0.0222222,0.00111111
570,0.0222222,0.00111111
580,0.0222222,0.00111111
590,0.0222222,0.00111111
600,0.0222222,0.00111111
610,0.0222222,0.00111111
620,0.0222222,0.00111111
630,0.0222222,0.00111111
640,0.0222222,0.00111111
650,0.0222222,0.00111111
660,0.0222222,0.00111111
670,0.0222222,0.00111111
680,0.0222222,0.00111111
690,0.0222222,0.00111111
700,0.0222222,0.00111111
710,0.0222222,0.00111111
720,0.0222222,0.00111111
730,0.0222222,0.00111111
740,0.0222222,0.00111111
750,0.0222222,0.00111111
760,0.0222222,0.00111111
770,0.0222222,0.00111111
780,0.0222222,0.00111111
790,0.0222222,0.00111111
800,0.0222222,0.00111111
810,0.0222222,0.00111111
820,0.0222222,0.00111111
830,0.0222222,0.00111111
840,0.0222222,0.00111111
850,0.0222222,0.00111111
860,0.0222222,0.00111111
870,0.0222222,0.00111111
880,0.0222222,0.00111111
890,0.0222222,0.00111111
900,0.0222222,0.00111111
910,0.0222222,0.00111111
920,0.0222222,0.00111111
930,0.0222222,0.00111111
940,0.0222222,0.00111111
950,0.0222222,0.00111111
960,0.0222222,0.00111111
970,0.0222222,0.00111111
980,0.0222222,0.00111111
990,0.0222222,0.00111111
1000,0.0222222,0.00111111
1010,0.0222222,0.00111111
1020,0.0222222,0.00111111
1030,0.0222222,0.00111111
1040,0.0222222,0.00111111
1050,0.0222222,0.00111111
1060,0.0222222,0.00111111
1070,0.0222222,0.00111111
1080,0.0222222,0.00111111
1090,0.0222222,0.00111111
1100,0.0222222,0.00111111
1110,0.0222222,0.00111111
1120,0.0222222,0.00111111
1130,0.0222222,0.00111111
1140,0.0222222,0.00111111
1150,0.0222222,0.00111111
1160,0.0222222,0.00111111
1170,0.0222222,0.00111111
1180,0.0222222,0.00111111
1190,0.0222222,0.00111111
1200,0.0222222,0.00111111
1210,0.0222222,0.00111111
1220,0.0222222,0.00111111
1230,0.0222222,0.00111111
1240,0.0222222,0.00111111
1250,0.0222222,0.00111111
1260,0.0222222,0.00111111
1270,0.0222222,0.00111111
1280,0.0222222,0.00111111
1290,0.0222222,0.00111111
1300,0.0222222,0.00111111
1310,0.0222222,0.00111111
1320,0.0222222,0.00111111
1330,0.0222222,0.00111111
1340,0.0222222,0.00111111
1350,0.0222222,0.00111111
1360,0.0222222,0.00111111
1370,0.0222222,0.00111111
1380,0.0222222,0.00111111
1390,0.0222222,0.00111111
1400,0.0222222,0.00111111
1410,0.0222222,0.00111111
1420,0.0222222,0.00111111
1430,0.0222222,0.00111111
1440,0.0222222,0.00111111
1450,0.0222222,0.00111111
1460,0.0222222,0.00111111
1470,0.0222222,0.00111111
1480,0.0222222,0.00111111
1490,0.0222222,0.00111111
1500,0.0222222,0.00111111
1510,0.0222222,0.00111111
1520,0.0222222,0.00111111
1530,0.0222222,0.00111111
1540,0.0222222,0.00111111
1550,0.0222222,0.00111111
1560,0.0222222,0.00111111
1570,0.0222222,0.00111111
1580,0.0222222,0.00111111
1590,0.0222222,0.00111111
1600,0.0222222,0.00111111
1610,0.0222222,0.00111111
1620,0.0222222,0.00111111
1630,0.0222222,0.00111111
1640,0.0222222,0.00111111
1650,0.0222222,0.00111111
1660,0.0222222,0.00111111
1670,0.0222222,0.00111111
1680,0.0222222,0.00111111
1690,0.0222222,0.00111111
1700,0.0222222,0.00111111
1710,0.0222222,0.00111111
1720,0.0222222,0.00111111
1730,0.0222222,0.00111111
1740,0.0222222,0.00111111
1750,0.0222222,0.00111111
1760,0.0222222,0.00111111
1770,0.0222222,0.00111111
1780,0.0222222,0.00111111
1790,0.0222222,0.00111111
1800,0.0222222,0.00111111
1810,0.0222222,0.00111111
1820,0.0222222,0.00111111
1830,0.0222222,0.00111111
1840,0.0222222,0.00111111
1850,0.0222222,0.00111111
1860,0.0222222,0.00111111
1870,0.0222222,0.00111111
1880,0.0222222,0.00111111
1890,0.0222222,0.00111111
1900,0.0222222,0.00111111
1910,0.0222222,0.00111111
1920,0.0222222,0.00111111
1930,0.0222222,0.00111111
1940,0.0222222,0.00111111
1950,0.0222222,0.00111111
1960,0.0222222,0.00111111
1970,0.0222222,0.00111111
1980,0.0222222,0.00111111
1990,0.0222222,0.00111111
2000,0.0222222,0.00111111
2010,0.0222222,0.00111111
2020,0.0222222,0.00111111
2030,0.0222222,0.00111111
2040,0.0222222,0.00111111
2050,0.0222222,0.00111111
2060,0.0222222,0.00111111
2070,0.0222222,0.00111111
2080,0.0222222,0.00111111
2090,0.0222222,0.00111111
2100,0.0222222,0.00111111
2110,0.0222222,0.00111111
2120,0.0222222,0.00111111
2130,0.0222222,0.00111111
2140,0.0222222,0.00111111
2150,0.0222222,0.00111111
2160,0.0222222,0.00111111
2170,0.0222222,0.00111111
2180,0.0222222,0.00111111
2190,0.0222222,0.00111111
2200,0.0222222,0.00111111
2210,0.0222222,0.00111111
2220,0.0222222,0.00111111
2230,0.0222222,0.00111111
2240,0.0222222,0.00111111
2250,0.0222222,0.00111111
2260,0.0222222,0.00111111
2270,0.0222222,0.00111111
2280,0.0222222,0.00111111
2290,0.0222222,0.00111111
2300,0.0222222,0.00111111
2310,0.0222222,0.00111111
2320,0.0222222,0.00111111
2330,0.0222222,0.00111111
2340,0.0222222,0.00111111
2350,0.0222222,0.00111111
2360,0.0222222,0.00111111
2370,0.0222222,0.00111111
2380,0.0222222,0.00111111
2390,0.0222222,0.00111111
2400,0.0222222,0.00111111
2410,0.0222222,0.00111111
2420,0.0222222,0.00111111
2430,0.0222222,0.00111111
2440,0.0222222,0.00111111
2450,0.0222222,0.00111111
2460,0.0222222,0.00111111
2470,0.0222222,0.00111111
2480,0.0222222,0.00111111
2490,0.0222222,0.00111111
2500,0.0222222,0.00111111
2510,0.0222222,0.00111111
2520,0.0222222,0.00111111
2530,0.0222222,0.00111111
2540,0.0222222,0.00111111
2550,0.0222222,0.00111111
2560,0.0222222,0.00111111
2570,0.0222222,0.00111111
2580,0.0222222,0.00111111
2590,0.0222222,0.00111111
2600,0.0222222,0.00111111
2610,0.0222222,0.00111111
2620,0.0222222,0.00111111
2630,0.0222222,0.00111111
2640,0.0222222,0.00111111
2650,0.0222222,0.00111111
2660,0.0222222,0.00111111
2670,0.0222222,0.00111111
2680,0.0222222,0.00111111
2690,0.0222222,0.00111111
2700,0.0222222,0.00111111
2710,0.0222222,0.00111111
2720,0.0222222,0.00111111
2730,0.0222222,0.00111111
2740,0.0222222,0.00111111
2750,0.0222222,0.00111111
2760,0.0222222,0.00111111
2770,0.0222222,0.00111111
2780,0.0222222,0.00111111
2790,0.0222222,0.00111111
2800,0.0222222,0.00111111
2810,0.0222222,0.00111111
2820,0.0222222,0.00111111
2830,0.0222222,0.00111111
2840,0.0222222,0.00111111
2850,0.0222222,0.00111111
2860,0.0222222,0.00111111
2870,0.0222222,0.00111111
2880,0.0222222,0.00111111
2890,0.0222222,0.00111111
2900,0.0222222,0.00111111
2910,0.0222222,0.00111111
2920,0.0222222,0.00111111
2930,0.0222222,0.00111111
2940,0.0222222,0.00111111
2950,0.0222222,0.00111111
2960,0.0222222,0.00111111
2970,0.0222222,0.00111111
2980,0.0222222,0.00111111
2990,0.0222222,0.00111111
3000,0.0222222,0.00111111
3010,0.0222222,0.00111111
3020,0.0222222,0.00111111
3030,0.0222222,0.00111111
3040,0.0222222,0.00111111
3050,0.0222222,0.00111111
3060,0.0222222,0.00111111
3070,0.0222222,0.00111111
3080,0.0222222,0.00111111
3090,0.0222222,0.00111111
3100,0.0222222,0.00111111
3110,0.0222222,0.00111111
3120,0.0222222,0.00111111
3130,0.0222222,0.00111111
3140,0.0222222,0.00111111
3150,0.0222222,0.00111111
3160,0.0222222,0.00111111
3170,0.0222222,0.00111111
3180,0.0222222,0.00111111
3190,0.0222222,0.00111111
3200,0.0222222,0.00111111
3210,0.0222222,0.00111111
3220,0.0222222,0.00111111
3230,0.0222222,0.00111111
3240,0.0222222,0.00111111
3250,0.0222222,0.00111111
3260,0.0222222,0.00111111
3270,0.0222222,0.00111111
3280,0.0222222,0.00111111
3290,0.0222222,0.00111111
3300,0.0222222,0.00111111
3310,0.0222222,0.00111111
3320,0.0222222,0.00111111
3330,0.0222222,0.00111111
3340,0.0222222,0.00111111
3350,0.0222222,0.00111111
3360,0.0222222,0.00111111
3370,0.0222222,0.00111111
3380,0.0222222,0.00111111
3390,0.0222222,0.00111111
3400,0.0222222,0.00111111
3410,0.0222222,0.00111111
3420,0.0222222,0.00111111
3430,0.0222222,0.00111111
3440,0.0222222,0.00111111
3450,0.0222222,0.00111111
3460,0.0222222,0.00111111
3470,0.0222222,0.00111111
3480,0.0222222,0.00111111
3490,0.0222222,0.00111111
3500,0.0222222,0.00111111
